Season,Nation,Name,Number,Position,PremierLeagueApps,PremierLeagueGoals,FaCupApps,UEFACupApps,FaCupGoals,UEFACupGoals,LeagueCupApps,LeagueCupGoals,ChampionsLeagueApps,ChampionsLeagueGoals,EuropaLeagueApps,EuropaLeagueGoals,Born,PremierLeagueSubs,AgeAugust,Age,ExtraM,ExtraD
2000-01,Netherlands,Ed de Goey,1,GK,15,0.0,0,0.0,0.0,0.0,1,0.0,,,,,1966-12-20,0,2000-08-01,33.0,7.0,12.0
2000-01,England,Jon Harley,34,DF,6,0.0,2,0.0,0.0,0.0,0,0.0,,,,,1979-09-26,4,2000-08-01,20.0,10.0,6.0
2000-01,Denmark,Jesper Grønkjær,30,MF,6,1.0,2,0.0,2.0,0.0,0,0.0,,,,,1977-08-12,8,2000-08-01,22.0,11.0,20.0
2000-01,Georgia(country),Rati Aleksidze,27,MF,0,0.0,0,1.0,0.0,0.0,0,0.0,,,,,1978-08-03,2,2000-08-01,21.0,11.0,29.0
2000-01,England,John Terry,26,DF,19,1.0,3,0.0,0.0,0.0,1,0.0,,,,,1980-12-07,3,2000-08-01,19.0,7.0,25.0
2000-01,Italy,Gianfranco Zola,25,FW,31,9.0,3,2.0,2.0,0.0,1,1.0,,,,,1966-07-05,5,2000-08-01,34.0,0.0,27.0
2000-01,Italy,Samuele Dalla Bona,24,MF,26,2.0,1,2.0,0.0,0.0,0,0.0,,,,,1981-02-06,3,2000-08-01,19.0,5.0,26.0
2000-01,Iceland,Eiður Guðjohnsen,22,FW,17,10.0,3,3.0,3.0,0.0,1,0.0,,,,,1978-09-15,13,2000-08-01,21.0,10.0,17.0
2000-01,France,Bernard Lambourde,21,DF,0,0.0,0,0.0,0.0,0.0,0,0.0,,,,,1971-05-11,1,2000-08-01,29.0,2.0,21.0
2000-01,England,Jody Morris,20,MF,12,0.0,1,3.0,0.0,0.0,1,0.0,,,,,1978-12-22,9,2000-08-01,21.0,7.0,10.0
2000-01,Spain,Albert Ferrer,17,DF,12,0.0,3,0.0,0.0,0.0,0,0.0,,,,,1970-06-06,2,2000-08-01,30.0,1.0,26.0
2000-01,Italy,Roberto Di Matteo,16,MF,8,0.0,0,2.0,0.0,0.0,0,0.0,,,,,1970-05-29,0,2000-08-01,30.0,2.0,3.0
2000-01,Italy,Carlo Cudicini,23,GK,23,0.0,3,2.0,0.0,0.0,0,0.0,,,,,1973-09-06,1,2000-08-01,26.0,10.0,26.0
2000-01,England,Graeme Le Saux,14,DF,17,0.0,2,2.0,0.0,0.0,0,0.0,,,,,1968-10-17,3,2000-08-01,31.0,9.0,15.0
2000-01,Netherlands,Mario Melchiot,15,DF,27,0.0,1,1.0,0.0,1.0,1,0.0,,,,,1976-11-04,4,2000-08-01,23.0,8.0,28.0
2000-01,Italy,Christian Panucci,2,DF,7,0.0,0,2.0,0.0,1.0,0,0.0,,,,,1973-04-12,1,2000-08-01,27.0,3.0,20.0
2000-01,Nigeria,Celestine Babayaro,3,DF,19,0.0,2,0.0,0.0,0.0,1,0.0,,,,,1978-08-29,5,2000-08-01,21.0,11.0,3.0
2000-01,France,Frank Leboeuf,5,DF,24,0.0,2,2.0,0.0,0.0,0,0.0,,,,,1968-01-22,2,2000-08-01,32.0,6.0,10.0
2000-01,Netherlands,Winston Bogarde,7,DF,9,0.0,0,1.0,0.0,0.0,1,0.0,,,,,1970-10-22,0,2000-08-01,29.0,9.0,10.0
2000-01,France,Marcel Desailly,6,DF,34,2.0,2,1.0,0.0,0.0,1,0.0,,,,,1968-09-07,0,2000-08-01,31.0,10.0,25.0
2000-01,Netherlands,Jimmy Floyd Hasselbaink,9,FW,35,23.0,2,2.0,2.0,1.0,1,0.0,,,,,1972-03-27,0,2000-08-01,28.0,4.0,5.0
2000-01,SerbiaandMontenegro,Slaviša Jokanović,10,MF,7,0.0,2,0.0,0.0,0.0,1,0.0,,,,,1968-08-16,12,2000-08-01,31.0,11.0,16.0
2000-01,England,Dennis Wise,11,MF,35,3.0,3,1.0,0.0,0.0,1,0.0,,,,,1966-12-16,1,2000-08-01,33.0,7.0,16.0
2000-01,Croatia,Mario Stanić,12,MF,8,2.0,2,0.0,0.0,0.0,0,0.0,,,,,1972-04-10,4,2000-08-01,28.0,3.0,22.0
2000-01,Uruguay,Gustavo Poyet,8,MF,22,11.0,3,0.0,1.0,0.0,1,0.0,,,,,1967-11-15,8,2000-08-01,32.0,8.0,17.0
2001-02,Italy,Carlo Cudicini,23,GK,27,0.0,8,0.0,0.0,0.0,5,0.0,,,,,1973-09-06,1,2001-08-01,27.0,10.0,26.0
2001-02,England,John Terry,26,DF,32,1.0,5,2.0,2.0,1.0,3,0.0,,,,,1980-12-07,1,2001-08-01,20.0,7.0,25.0
2001-02,Italy,Samuele Dalla Bona,24,MF,16,4.0,6,3.0,0.0,0.0,5,0.0,,,,,1981-02-06,8,2001-08-01,20.0,5.0,26.0
2001-02,Italy,Gianfranco Zola,25,FW,19,3.0,6,4.0,1.0,1.0,5,0.0,,,,,1966-07-05,16,2001-08-01,35.0,0.0,27.0
2001-02,Germany,Robert Huth,29,DF,0,0.0,0,0.0,0.0,0.0,0,0.0,,,,,1984-08-18,1,2001-08-01,16.0,11.0,14.0
2001-02,England,Carlton Cole,39,FW,2,1.0,0,0.0,0.0,0.0,0,0.0,,,,,1983-10-12,1,2001-08-01,17.0,9.0,20.0
2001-02,Australia,Mark Bosnich,31,GK,5,0.0,0,2.0,0.0,0.0,0,0.0,,,,,1972-01-13,0,2001-08-01,29.0,6.0,19.0
2001-02,Finland,Mikael Forssell,32,FW,2,4.0,6,3.0,3.0,0.0,4,2.0,,,,,1981-03-15,20,2001-08-01,20.0,4.0,17.0
2001-02,England,Joel Kitamirike,33,DF,0,0.0,0,1.0,0.0,0.0,0,0.0,,,,,1984-04-05,0,2001-08-01,17.0,3.0,27.0
2001-02,England,Joe Keenan,36,MF,0,0.0,0,0.0,0.0,0.0,0,0.0,,,,,1982-10-14,1,2001-08-01,18.0,9.0,18.0
2001-02,Iceland,Eiður Guðjohnsen,22,FW,26,14.0,7,3.0,3.0,3.0,5,3.0,,,,,1978-09-15,6,2001-08-01,22.0,10.0,17.0
2001-02,Denmark,Jesper Grønkjær,30,FW,11,0.0,3,0.0,0.0,0.0,0,0.0,,,,,1977-08-12,2,2001-08-01,23.0,11.0,20.0
2001-02,England,Jody Morris,20,MF,2,0.0,2,1.0,0.0,0.0,2,0.0,,,,,1978-12-22,3,2001-08-01,22.0,7.0,10.0
2001-02,SerbiaandMontenegro,Slaviša Jokanović,10,MF,12,0.0,5,3.0,0.0,0.0,3,0.0,,,,,1968-08-16,8,2001-08-01,32.0,11.0,16.0
2001-02,France,Emmanuel Petit,17,MF,26,1.0,6,3.0,0.0,0.0,2,0.0,,,,,1970-09-22,1,2001-08-01,30.0,10.0,10.0
2001-02,Spain,Albert Ferrer,18,DF,2,0.0,4,0.0,0.0,0.0,2,0.0,,,,,1970-06-06,2,2001-08-01,31.0,1.0,26.0
2001-02,Nigeria,Celestine Babayaro,3,DF,18,0.0,4,2.0,0.0,0.0,4,0.0,,,,,1978-08-29,0,2001-08-01,22.0,11.0,3.0
2001-02,France,Marcel Desailly,6,DF,24,1.0,8,2.0,0.0,0.0,3,0.0,,,,,1968-09-07,0,2001-08-01,32.0,10.0,25.0
2001-02,England,Frank Lampard,8,MF,34,5.0,8,4.0,1.0,1.0,4,0.0,,,,,1982-05-20,3,2001-08-01,19.0,2.0,12.0
2001-02,Netherlands,Jimmy Floyd Hasselbaink,9,FW,35,23.0,7,2.0,3.0,0.0,4,3.0,,,,,1972-03-27,0,2001-08-01,29.0,4.0,5.0
2001-02,Netherlands,Ed de Goeij,1,GK,6,0.0,0,2.0,0.0,0.0,0,0.0,,,,,1966-12-20,0,2001-08-01,34.0,7.0,12.0
2001-02,Netherlands,Boudewijn Zenden,11,MF,13,3.0,3,3.0,0.0,0.0,4,0.0,,,,,1976-08-15,9,2001-08-01,24.0,11.0,17.0
2001-02,Croatia,Mario Stanić,12,FW,18,1.0,4,2.0,1.0,0.0,2,0.0,,,,,1972-04-10,9,2001-08-01,29.0,3.0,22.0
2001-02,France,William Gallas,13,DF,27,1.0,4,3.0,1.0,0.0,4,0.0,,,,,1977-08-17,3,2001-08-01,23.0,11.0,15.0
2001-02,England,Graeme Le Saux,14,DF,26,1.0,8,2.0,1.0,0.0,3,0.0,,,,,1968-10-17,1,2001-08-01,32.0,9.0,15.0
2001-02,Netherlands,Mario Melchiot,15,DF,35,2.0,6,3.0,0.0,0.0,4,0.0,,,,,1976-11-04,2,2001-08-01,24.0,8.0,28.0
2002-03,England,Carlton Cole,39,FW,2,3.0,2,0.0,1.0,0.0,1,2.0,,,,,1983-10-12,11,2002-08-01,18.0,9.0,20.0
2002-03,England,Joe Keenan,36,MF,0,0.0,0,0.0,0.0,0.0,0,0.0,,,,,1982-10-14,1,2002-08-01,19.0,9.0,18.0
2002-03,Germany,Robert Huth,29,DF,2,0.0,1,2.0,0.0,0.0,0,0.0,,,,,1984-08-18,0,2002-08-01,17.0,11.0,14.0
2002-03,Portugal,Filipe Oliveira,28,MF,0,0.0,0,1.0,0.0,0.0,1,0.0,,,,,1984-05-27,3,2002-08-01,18.0,2.0,5.0
2002-03,England,John Terry,26,DF,16,2.0,5,2.0,2.0,0.0,3,0.0,,,,,1980-12-07,4,2002-08-01,21.0,7.0,25.0
2002-03,Italy,Gianfranco Zola,25,FW,30,14.0,3,2.0,2.0,0.0,3,0.0,,,,,1966-07-05,8,2002-08-01,36.0,0.0,27.0
2002-03,Italy,Carlo Cudicini,23,GK,36,0.0,5,2.0,0.0,0.0,3,0.0,,,,,1973-09-06,0,2002-08-01,28.0,10.0,26.0
2002-03,Iceland,Eiður Guðjohnsen,22,FW,20,10.0,5,2.0,0.0,0.0,2,0.0,,,,,1978-09-15,15,2002-08-01,23.0,10.0,17.0
2002-03,Spain,Enrique de Lucas,21,MF,17,0.0,2,1.0,0.0,1.0,3,0.0,,,,,1978-08-17,8,2002-08-01,23.0,11.0,15.0
2002-03,England,Jody Morris,20,MF,19,0.0,3,2.0,1.0,0.0,3,0.0,,,,,1978-12-22,6,2002-08-01,23.0,7.0,10.0
2002-03,France,Emmanuel Petit,17,MF,23,1.0,5,1.0,0.0,0.0,1,1.0,,,,,1970-09-22,1,2002-08-01,31.0,10.0,10.0
2002-03,Denmark,Jesper Grønkjær,30,MF,20,4.0,5,2.0,1.0,0.0,2,0.0,,,,,1977-08-12,10,2002-08-01,24.0,11.0,20.0
2002-03,England,Graeme Le Saux,14,DF,27,2.0,3,1.0,0.0,0.0,2,0.0,,,,,1968-10-17,1,2002-08-01,33.0,9.0,15.0
2002-03,Netherlands,Ed de Goeij,1,GK,2,0.0,1,0.0,0.0,0.0,0,0.0,,,,,1966-12-20,0,2002-08-01,35.0,7.0,12.0
2002-03,Spain,Albert Ferrer,2,DF,3,0.0,1,0.0,0.0,0.0,0,0.0,,,,,1970-06-06,0,2002-08-01,32.0,1.0,26.0
2002-03,Netherlands,Mario Melchiot,15,DF,31,0.0,5,0.0,0.0,0.0,2,0.0,,,,,1976-11-04,3,2002-08-01,25.0,8.0,28.0
2002-03,France,Marcel Desailly,6,DF,30,2.0,1,1.0,0.0,0.0,0,0.0,,,,,1968-09-07,1,2002-08-01,33.0,10.0,25.0
2002-03,Netherlands,Winston Bogarde,7,DF,0,0.0,0,0.0,0.0,0.0,1,0.0,,,,,1970-10-22,0,2002-08-01,31.0,9.0,10.0
2002-03,Nigeria,Celestine Babayaro,3,DF,16,1.0,3,0.0,0.0,0.0,2,0.0,,,,,1978-08-29,3,2002-08-01,23.0,11.0,3.0
2002-03,Netherlands,Jimmy Floyd Hasselbaink,9,FW,27,11.0,4,2.0,1.0,1.0,2,2.0,,,,,1972-03-27,9,2002-08-01,30.0,4.0,5.0
2002-03,Netherlands,Boudewijn Zenden,11,MF,11,1.0,4,1.0,0.0,0.0,1,0.0,,,,,1976-08-15,10,2002-08-01,25.0,11.0,17.0
2002-03,Croatia,Mario Stanić,12,MF,13,4.0,3,2.0,1.0,0.0,2,1.0,,,,,1972-04-10,5,2002-08-01,30.0,3.0,22.0
2002-03,France,William Gallas,13,DF,36,4.0,5,2.0,0.0,0.0,3,0.0,,,,,1977-08-17,2,2002-08-01,24.0,11.0,15.0
2002-03,England,Frank Lampard,8,MF,37,6.0,5,2.0,1.0,1.0,3,0.0,,,,,1982-05-20,1,2002-08-01,20.0,2.0,12.0
2003-04,England,John Terry,26,DF,33,2.0,3,,1.0,,2,0.0,13.0,0.0,,,1980-12-07,0,2003-08-01,22.0,7.0,25.0
2003-04,Argentina,Hernán Crespo,21,FW,13,10.0,0,,0.0,,2,0.0,10.0,2.0,,,1975-07-05,6,2003-08-01,28.0,0.0,27.0
2003-04,Iceland,Eiður Guðjohnsen,22,FW,17,6.0,4,,2.0,,1,2.0,10.0,3.0,,,1978-09-15,9,2003-08-01,24.0,10.0,17.0
2003-04,Italy,Carlo Cudicini,23,GK,26,0.0,3,,0.0,,0,0.0,11.0,0.0,,,1973-09-06,0,2003-08-01,29.0,10.0,26.0
2003-04,Cyprus,Alexis Nicolas,27,MF,1,0.0,1,,0.0,,0,0.0,0.0,0.0,,,1983-02-13,1,2003-08-01,20.0,5.0,19.0
2003-04,Scotland,Neil Sullivan,34,GK,4,0.0,2,,0.0,,2,0.0,0.0,0.0,,,1970-02-24,0,2003-08-01,33.0,5.0,8.0
2003-04,Germany,Robert Huth,29,DF,8,0.0,1,,0.0,,1,0.0,2.0,1.0,,,1984-08-18,8,2003-08-01,18.0,11.0,14.0
2003-04,Denmark,Jesper Grønkjær,30,MF,19,2.0,4,,0.0,,3,0.0,10.0,1.0,,,1977-08-12,12,2003-08-01,25.0,11.0,20.0
2003-04,Italy,Marco Ambrosio,31,GK,8,0.0,1,,0.0,,1,0.0,3.0,0.0,,,1973-05-30,0,2003-08-01,30.0,2.0,2.0
2003-04,Finland,Mikael Forssell,32,FW,0,0.0,0,,0.0,,0,0.0,1.0,0.0,,,1981-03-15,0,2003-08-01,22.0,4.0,17.0
2003-04,Argentina,Juan Sebastián Verón,20,MF,5,1.0,0,,0.0,,1,0.0,6.0,0.0,,,1975-03-09,2,2003-08-01,28.0,4.0,23.0
2003-04,Portugal,Filipe Oliveira,28,MF,0,0.0,1,,0.0,,0,0.0,0.0,0.0,,,1984-05-27,1,2003-08-01,19.0,2.0,5.0
2003-04,England,Wayne Bridge,18,DF,33,1.0,2,,0.0,,0,0.0,13.0,2.0,,,1980-08-05,0,2003-08-01,22.0,11.0,27.0
2003-04,England,Scott Parker,19,MF,7,1.0,1,,0.0,,0,0.0,5.0,0.0,,,1980-10-13,4,2003-08-01,22.0,9.0,19.0
2003-04,Netherlands,Mario Melchiot,15,DF,20,2.0,3,,0.0,,2,0.0,5.0,0.0,,,1976-11-04,3,2003-08-01,26.0,8.0,28.0
2003-04,France,Emmanuel Petit,17,MF,3,0.0,1,,0.0,,0,0.0,2.0,0.0,,,1970-09-22,1,2003-08-01,32.0,10.0,10.0
2003-04,England,Glen Johnson,2,DF,17,3.0,0,,0.0,,3,0.0,9.0,1.0,,,1984-08-23,2,2003-08-01,18.0,11.0,9.0
2003-04,Nigeria,Celestine Babayaro,3,DF,5,1.0,2,,0.0,,3,0.0,3.0,0.0,,,1978-08-29,1,2003-08-01,24.0,11.0,3.0
2003-04,France,Claude Makélélé,4,MF,26,0.0,3,,0.0,,2,0.0,11.0,0.0,,,1973-02-18,4,2003-08-01,30.0,5.0,14.0
2003-04,France,Marcel Desailly,6,DF,15,0.0,1,,0.0,,1,0.0,8.0,0.0,,,1968-09-07,0,2003-08-01,34.0,10.0,25.0
2003-04,England,Frank Lampard,8,MF,38,10.0,4,,1.0,,2,0.0,14.0,4.0,,,1982-05-20,0,2003-08-01,21.0,2.0,12.0
2003-04,Romania,Adrian Mutu,7,FW,21,6.0,3,,3.0,,1,0.0,7.0,1.0,,,1979-01-08,4,2003-08-01,24.0,6.0,24.0
2003-04,England,Joe Cole,10,MF,18,1.0,3,,0.0,,3,2.0,9.0,0.0,,,1981-11-08,17,2003-08-01,21.0,8.0,24.0
2003-04,RepublicofIreland,Damien Duff,11,MF,17,5.0,1,,0.0,,2,0.0,11.0,1.0,,,1979-03-02,6,2003-08-01,24.0,4.0,30.0
2003-04,Croatia,Mario Stanić,12,MF,0,0.0,0,,0.0,,2,0.0,1.0,0.0,,,1972-04-10,2,2003-08-01,31.0,3.0,22.0
2003-04,France,William Gallas,13,DF,23,0.0,4,,0.0,,1,0.0,11.0,1.0,,,1977-08-17,6,2003-08-01,25.0,11.0,15.0
2003-04,Cameroon,Geremi,14,MF,19,1.0,1,,0.0,,3,0.0,10.0,0.0,,,1978-12-20,6,2003-08-01,24.0,7.0,12.0
2003-04,Netherlands,Jimmy Floyd Hasselbaink,9,FW,22,13.0,3,,1.0,,3,2.0,8.0,2.0,,,1972-03-27,8,2003-08-01,31.0,4.0,5.0
2004-05,England,John Terry,26,DF,36,3.0,5,,0.0,,1,1.0,11.0,4.0,,,1980-12-07,0,2004-08-01,23.0,7.0,25.0
2004-05,Portugal,Paulo Ferreira,20,DF,29,0.0,1,,0.0,,5,0.0,7.0,0.0,,,1979-01-18,0,2004-08-01,25.0,6.0,14.0
2004-05,Iceland,Eiður Guðjohnsen,22,FW,30,12.0,3,,1.0,,6,1.0,11.0,2.0,,,1978-09-15,7,2004-08-01,25.0,10.0,17.0
2004-05,Italy,Carlo Cudicini,23,GK,3,0.0,3,,0.0,,4,0.0,1.0,0.0,,,1973-09-06,0,2004-08-01,30.0,10.0,26.0
2004-05,Finland,Mikael Forssell,24,FW,0,0.0,0,,0.0,,0,0.0,1.0,0.0,,,1981-03-15,1,2004-08-01,23.0,4.0,17.0
2004-05,CzechRepublic,Jiří Jarošík,27,MF,3,0.0,3,,0.0,,3,0.0,0.0,0.0,,,1977-10-27,11,2004-08-01,26.0,9.0,5.0
2004-05,England,Anthony Grant,42,MF,0,0.0,0,,0.0,,0,0.0,0.0,0.0,,,1987-06-04,1,2004-08-01,17.0,1.0,28.0
2004-05,Portugal,Tiago Mendes,30,MF,21,4.0,2,,0.0,,4,0.0,11.0,0.0,,,1981-05-02,13,2004-08-01,23.0,2.0,30.0
2004-05,Portugal,Filipe Oliveira,31,MF,0,0.0,0,,0.0,,0,0.0,0.0,0.0,,,1984-05-27,1,2004-08-01,20.0,2.0,5.0
2004-05,Scotland,Steven Watt,32,DF,0,0.0,1,,0.0,,0,0.0,0.0,0.0,,,1985-05-01,1,2004-08-01,19.0,3.0,0.0
2004-05,Portugal,Nuno Morais,33,DF,0,0.0,1,,0.0,,0,0.0,1.0,0.0,,,1984-01-29,2,2004-08-01,20.0,6.0,3.0
2004-05,England,Lenny Pidgeley,40,GK,0,0.0,0,,0.0,,0,0.0,0.0,0.0,,,1984-02-07,1,2004-08-01,20.0,5.0,25.0
2004-05,England,Scott Parker,19,MF,1,0.0,0,,0.0,,3,0.0,4.0,0.0,,,1980-10-13,3,2004-08-01,23.0,9.0,19.0
2004-05,Germany,Robert Huth,29,DF,6,0.0,1,,1.0,,0,0.0,4.0,0.0,,,1984-08-18,4,2004-08-01,19.0,11.0,14.0
2004-05,England,Wayne Bridge,18,DF,12,0.0,2,,0.0,,4,0.0,4.0,0.0,,,1980-08-05,3,2004-08-01,23.0,11.0,27.0
2004-05,CzechRepublic,Petr Čech,1,GK,35,0.0,0,,0.0,,2,0.0,11.0,0.0,,,1982-05-20,0,2004-08-01,22.0,2.0,12.0
2004-05,IvoryCoast,Didier Drogba,15,FW,18,10.0,2,,0.0,,4,1.0,9.0,5.0,,,1978-03-11,8,2004-08-01,26.0,4.0,21.0
2004-05,Netherlands,Arjen Robben,16,MF,14,7.0,2,,0.0,,4,1.0,5.0,1.0,,,1984-01-23,4,2004-08-01,20.0,6.0,9.0
2004-05,Nigeria,Celestine Babayaro,3,DF,3,0.0,0,,0.0,,1,0.0,0.0,0.0,,,1978-08-29,1,2004-08-01,25.0,11.0,3.0
2004-05,France,Claude Makélélé,4,MF,36,1.0,0,,0.0,,4,0.0,10.0,0.0,,,1973-02-18,0,2004-08-01,31.0,5.0,14.0
2004-05,Russia,Alexey Smertin,5,MF,11,0.0,3,,0.0,,1,0.0,5.0,1.0,,,1975-05-01,5,2004-08-01,29.0,3.0,0.0
2004-05,Portugal,Ricardo Carvalho,6,DF,22,1.0,1,,0.0,,3,0.0,10.0,0.0,,,1978-05-18,3,2004-08-01,26.0,2.0,14.0
2004-05,Romania,Adrian Mutu,7,FW,0,0.0,0,,0.0,,0,0.0,0.0,0.0,,,1979-01-08,2,2004-08-01,25.0,6.0,24.0
2004-05,England,Glen Johnson,2,DF,13,0.0,3,,0.0,,3,0.0,6.0,0.0,,,1984-08-23,3,2004-08-01,19.0,11.0,9.0
2004-05,SerbiaandMontenegro,Mateja Kežman,9,FW,6,4.0,3,,1.0,,4,2.0,9.0,0.0,,,1979-04-12,19,2004-08-01,25.0,3.0,20.0
2004-05,England,Joe Cole,10,MF,19,8.0,3,,0.0,,6,0.0,9.0,1.0,,,1981-11-08,9,2004-08-01,22.0,8.0,24.0
2004-05,RepublicofIreland,Damien Duff,11,MF,28,6.0,2,,0.0,,6,2.0,10.0,2.0,,,1979-03-02,2,2004-08-01,25.0,4.0,30.0
2004-05,France,William Gallas,13,DF,28,2.0,1,,0.0,,5,0.0,12.0,0.0,,,1977-08-17,0,2004-08-01,26.0,11.0,15.0
2004-05,Cameroon,Geremi,14,MF,6,0.0,2,,0.0,,1,0.0,4.0,0.0,,,1978-12-20,7,2004-08-01,25.0,7.0,12.0
2004-05,England,Frank Lampard,8,MF,38,13.0,2,,0.0,,6,2.0,12.0,4.0,,,1982-05-20,0,2004-08-01,22.0,2.0,12.0
2005-06,Netherlands,Arjen Robben,16,MF,21,6.0,4,,1.0,,1,0.0,6.0,0.0,,,1984-01-23,7,2005-08-01,21.0,6.0,9.0
2005-06,England,Wayne Bridge,18,DF,0,0.0,1,,0.0,,1,0.0,0.0,0.0,,,1980-08-05,0,2005-08-01,24.0,11.0,27.0
2005-06,Portugal,Paulo Ferreira,20,DF,18,0.0,3,,1.0,,1,0.0,6.0,0.0,,,1979-01-18,3,2005-08-01,26.0,6.0,14.0
2005-06,Iceland,Eiður Guðjohnsen,22,FW,16,2.0,3,,1.0,,1,0.0,6.0,0.0,,,1978-09-15,10,2005-08-01,26.0,10.0,17.0
2005-06,Italy,Carlo Cudicini,23,GK,3,0.0,6,,0.0,,1,0.0,1.0,0.0,,,1973-09-06,1,2005-08-01,31.0,10.0,26.0
