Season,Nation,Name,Number,Position,PremierLeagueApps,PremierLeagueGoals,FaCupApps,UEFACupApps,FaCupGoals,UEFACupGoals,LeagueCupApps,LeagueCupGoals,ChampionsLeagueApps,ChampionsLeagueGoals,EuropaLeagueApps,EuropaLeagueGoals,Born,PremierLeagueSubs,AgeAugust,Age,ExtraM,ExtraD
2005-06,Germany,Robert Huth,29,DF,7,0.0,4,,0.0,,1,0.0,3.0,0.0,,,1984-08-18,6,2005-08-01,20.0,11.0,14.0
2005-06,England,John Terry,26,DF,36,4.0,4,,2.0,,1,1.0,8.0,0.0,,,1980-12-07,0,2005-08-01,24.0,7.0,25.0
2005-06,England,Jimmy Smith,37,MF,0,0.0,0,,0.0,,0,0.0,0.0,0.0,,,,1,2005-08-01,,,
2005-06,England,Lenny Pidgeley,40,GK,1,0.0,0,,0.0,,0,0.0,0.0,0.0,,,1984-02-07,0,2005-08-01,21.0,5.0,25.0
2005-06,IvoryCoast,Didier Drogba,15,FW,20,12.0,3,,1.0,,1,0.0,7.0,1.0,,,1978-03-11,9,2005-08-01,27.0,4.0,21.0
2005-06,England,Shaun Wright-Phillips,24,MF,10,0.0,4,,0.0,,1,0.0,6.0,0.0,,,1981-10-25,17,2005-08-01,23.0,9.0,7.0
2005-06,Cameroon,Geremi,14,MF,8,2.0,3,,0.0,,1,0.0,2.0,0.0,,,1978-12-20,7,2005-08-01,26.0,7.0,12.0
2005-06,France,Lassana Diarra,19,MF,2,0.0,2,,0.0,,0,0.0,2.0,0.0,,,1985-03-10,1,2005-08-01,20.0,4.0,22.0
2005-06,England,Carlton Cole,12,FW,0,0.0,2,,1.0,,0,0.0,2.0,0.0,,,1983-10-12,9,2005-08-01,21.0,9.0,20.0
2005-06,England,Glen Johnson,2,DF,4,0.0,4,,0.0,,0,0.0,0.0,0.0,,,1984-08-23,0,2005-08-01,20.0,11.0,9.0
2005-06,Spain,Asier del Horno,3,DF,25,1.0,4,,0.0,,0,0.0,4.0,0.0,,,1981-01-19,0,2005-08-01,24.0,6.0,13.0
2005-06,France,Claude Makélélé,4,MF,29,0.0,3,,0.0,,0,0.0,6.0,0.0,,,1973-02-18,2,2005-08-01,32.0,5.0,14.0
2005-06,Ghana,Michael Essien,5,MF,27,2.0,4,,0.0,,0,0.0,6.0,0.0,,,1982-12-03,4,2005-08-01,22.0,7.0,29.0
2005-06,Portugal,Ricardo Carvalho,6,DF,22,1.0,3,,0.0,,0,0.0,8.0,2.0,,,1978-05-18,2,2005-08-01,27.0,2.0,14.0
2005-06,CzechRepublic,Petr Čech,1,GK,34,0.0,0,,0.0,,0,0.0,7.0,0.0,,,1982-05-20,0,2005-08-01,23.0,2.0,12.0
2005-06,England,Frank Lampard,8,MF,35,16.0,5,,2.0,,1,0.0,8.0,2.0,,,1982-05-20,0,2005-08-01,23.0,2.0,12.0
2005-06,France,William Gallas,13,DF,33,5.0,3,,0.0,,0,0.0,7.0,0.0,,,1977-08-17,1,2005-08-01,27.0,11.0,15.0
2005-06,Argentina,Hernán Crespo,9,FW,20,10.0,5,,1.0,,1,0.0,5.0,2.0,,,1975-07-05,10,2005-08-01,30.0,0.0,27.0
2005-06,England,Joe Cole,10,MF,26,7.0,6,,2.0,,1,0.0,6.0,1.0,,,1981-11-08,8,2005-08-01,23.0,8.0,24.0
2005-06,RepublicofIreland,Damien Duff,11,MF,18,3.0,5,,0.0,,0,0.0,6.0,0.0,,,1979-03-02,10,2005-08-01,26.0,4.0,30.0
2005-06,Portugal,Maniche,7,MF,3,0.0,0,,0.0,,0,0.0,3.0,0.0,,,1977-11-11,5,2005-08-01,27.0,8.0,21.0
2006-07,Portugal,Paulo Ferreira,20,DF,18,0.0,5,,0.0,,2,0.0,6.0,0.0,,,1979-01-18,6,2006-08-01,27.0,6.0,14.0
2006-07,IvoryCoast,Salomon Kalou,21,FW,19,7.0,7,,1.0,,6,1.0,11.0,0.0,,,1985-08-05,14,2006-08-01,20.0,11.0,27.0
2006-07,Italy,Carlo Cudicini,23,GK,7,-3.0,0,,0.0,,1,0.0,1.0,-1.0,,,1973-09-06,1,2006-08-01,32.0,10.0,26.0
2006-07,England,Shaun Wright-Phillips,24,MF,13,2.0,7,,3.0,,3,0.0,6.0,1.0,,,1981-10-25,14,2006-08-01,24.0,9.0,7.0
2006-07,England,John Terry,26,DF,27,1.0,4,,0.0,,2,0.0,10.0,0.0,,,1980-12-07,1,2006-08-01,25.0,7.0,25.0
2006-07,Israel,Ben Sahar,47,FW,0,0.0,1,,0.0,,1,0.0,0.0,0.0,,,1989-08-10,3,2006-08-01,16.0,11.0,22.0
2006-07,Portugal,Henrique Hilário,40,GK,11,-12.0,1,,-1.0,,3,-1.0,3.0,-2.0,,,1975-10-21,0,2006-08-01,30.0,9.0,11.0
2006-07,England,Michael Woods,48,MF,0,0.0,2,,0.0,,0,0.0,0.0,0.0,,,1990-04-06,0,2006-08-01,16.0,3.0,26.0
2006-07,England,Scott Sinclair,49,FW,1,0.0,0,,0.0,,1,0.0,0.0,0.0,,,1989-03-25,1,2006-08-01,17.0,4.0,7.0
2006-07,England,Sam Hutchinson,51,DF,0,0.0,0,,0.0,,0,0.0,0.0,0.0,,,1989-08-03,1,2006-08-01,16.0,11.0,29.0
2006-07,France,Lassana Diarra,19,MF,7,0.0,4,,0.0,,3,0.0,5.0,0.0,,,1985-03-10,3,2006-08-01,21.0,4.0,22.0
2006-07,Portugal,Nuno Morais,33,DF,0,0.0,2,,0.0,,1,0.0,0.0,0.0,,,1984-01-29,2,2006-08-01,22.0,6.0,3.0
2006-07,England,Wayne Bridge,18,DF,17,0.0,3,,0.0,,4,1.0,3.0,0.0,,,1980-08-05,5,2006-08-01,25.0,11.0,27.0
2006-07,Netherlands,Arjen Robben,16,MF,16,2.0,4,,0.0,,3,0.0,8.0,1.0,,,1984-01-23,5,2006-08-01,22.0,6.0,9.0
2006-07,Cameroon,Geremi,14,MF,15,1.0,3,,0.0,,3,0.0,2.0,0.0,,,1978-12-20,4,2006-08-01,27.0,7.0,12.0
2006-07,CzechRepublic,Petr Čech,1,GK,20,-9.0,6,,-5.0,,2,-1.0,8.0,-5.0,,,1982-05-20,0,2006-08-01,24.0,2.0,12.0
2006-07,England,Ashley Cole,3,DF,21,0.0,5,,0.0,,3,0.0,9.0,0.0,,,1980-12-20,2,2006-08-01,25.0,7.0,12.0
2006-07,France,Claude Makélélé,4,MF,26,1.0,2,,0.0,,6,0.0,9.0,0.0,,,1973-02-18,3,2006-08-01,33.0,5.0,14.0
2006-07,Portugal,Ricardo Carvalho,6,DF,31,3.0,5,,1.0,,4,0.0,10.0,0.0,,,1978-05-18,0,2006-08-01,28.0,2.0,14.0
2006-07,Ukraine,Andriy Shevchenko,7,FW,22,4.0,6,,3.0,,4,3.0,10.0,3.0,,,1976-09-29,8,2006-08-01,29.0,10.0,3.0
2006-07,Ghana,Michael Essien,5,MF,33,2.0,5,,1.0,,6,1.0,10.0,2.0,,,1982-12-03,0,2006-08-01,23.0,7.0,29.0
2006-07,Netherlands,Khalid Boulahrouz,9,DF,10,0.0,2,,0.0,,3,0.0,5.0,0.0,,,1981-12-28,3,2006-08-01,24.0,7.0,4.0
2006-07,England,Joe Cole,10,MF,3,0.0,2,,0.0,,2,1.0,7.0,1.0,,,1981-11-08,10,2006-08-01,24.0,8.0,24.0
2006-07,IvoryCoast,Didier Drogba,11,FW,32,20.0,6,,3.0,,5,4.0,12.0,6.0,,,1978-03-11,4,2006-08-01,28.0,4.0,21.0
2006-07,Nigeria,John Obi Mikel,12,MF,10,0.0,6,,2.0,,4,0.0,9.0,0.0,,,1987-04-22,12,2006-08-01,19.0,3.0,10.0
2006-07,Germany,Michael Ballack,13,MF,23,5.0,3,,1.0,,6,0.0,10.0,2.0,,,1976-09-26,3,2006-08-01,29.0,10.0,6.0
2006-07,England,Frank Lampard,8,MF,36,11.0,7,,6.0,,6,3.0,11.0,1.0,,,1982-05-20,1,2006-08-01,24.0,2.0,12.0
2007-08,England,Shaun Wright-Phillips,24,MF,20,2.0,3,,1.0,,5,1.0,5.0,0.0,,,1981-10-25,7,2007-08-01,25.0,9.0,7.0
2007-08,Nigeria,John Obi Mikel,12,MF,21,0.0,2,,0.0,,3,0.0,4.0,0.0,,,1987-04-22,8,2007-08-01,20.0,3.0,10.0
2007-08,Germany,Michael Ballack,13,MF,16,7.0,2,,0.0,,3,0.0,7.0,2.0,,,1976-09-26,2,2007-08-01,30.0,10.0,6.0
2007-08,France,Florent Malouda,15,MF,16,2.0,2,,0.0,,3,0.0,11.0,1.0,,,1980-06-13,5,2007-08-01,27.0,1.0,19.0
2007-08,England,Scott Sinclair,17,MF,0,0.0,2,,0.0,,3,1.0,0.0,0.0,,,1989-03-25,1,2007-08-01,18.0,4.0,7.0
2007-08,Ukraine,Andriy Shevchenko,7,FW,8,5.0,1,,0.0,,2,2.0,5.0,1.0,,,1976-09-29,9,2007-08-01,30.0,10.0,3.0
2007-08,France,Lassana Diarra,19,MF,0,0.0,0,,0.0,,0,0.0,0.0,0.0,,,1985-03-10,0,2007-08-01,22.0,4.0,22.0
2007-08,Peru,Claudio Pizarro,14,FW,4,2.0,4,,0.0,,4,0.0,2.0,0.0,,,1978-10-03,17,2007-08-01,28.0,9.0,29.0
2007-08,IvoryCoast,Salomon Kalou,21,FW,24,7.0,3,,1.0,,4,2.0,11.0,1.0,,,1985-08-05,6,2007-08-01,21.0,11.0,27.0
2007-08,France,Nicolas Anelka,39,FW,10,1.0,3,,1.0,,2,0.0,5.0,0.0,,,1979-03-14,4,2007-08-01,28.0,4.0,18.0
2007-08,England,Glen Johnson,2,DF,1,0.0,0,,0.0,,0,0.0,0.0,0.0,,,1984-08-23,1,2007-08-01,22.0,11.0,9.0
2007-08,England,Joe Cole,10,MF,28,7.0,3,,0.0,,5,1.0,13.0,2.0,,,1981-11-08,5,2007-08-01,25.0,8.0,24.0
2007-08,IvoryCoast,Didier Drogba,11,FW,17,8.0,1,,0.0,,1,1.0,11.0,6.0,,,1978-03-11,2,2007-08-01,29.0,4.0,21.0
2007-08,England,Steve Sidwell,9,MF,7,0.0,3,,0.0,,5,1.0,1.0,0.0,,,1982-12-14,8,2007-08-01,24.0,7.0,18.0
2007-08,CzechRepublic,Petr Čech,1,GK,26,0.0,1,,0.0,,3,0.0,9.0,0.0,,,1982-05-20,0,2007-08-01,25.0,2.0,12.0
2007-08,Ghana,Michael Essien,5,MF,23,6.0,2,,0.0,,4,0.0,12.0,0.0,,,1982-12-03,4,2007-08-01,24.0,7.0,29.0
2007-08,England,Frank Lampard,8,MF,23,10.0,1,,2.0,,3,4.0,14.0,4.0,,,1982-05-20,1,2007-08-01,25.0,2.0,12.0
2007-08,Italy,Carlo Cudicini,23,GK,10,0.0,2,,0.0,,2,0.0,5.0,0.0,,,1973-09-06,0,2007-08-01,33.0,10.0,26.0
2007-08,Portugal,Henrique Hilário,40,GK,2,0.0,1,,0.0,,1,0.0,1.0,0.0,,,1975-10-21,1,2007-08-01,31.0,9.0,11.0
2007-08,Portugal,Ricardo Carvalho,6,DF,21,1.0,2,,0.0,,4,0.0,10.0,0.0,,,1978-05-18,0,2007-08-01,29.0,2.0,14.0
2007-08,England,Wayne Bridge,18,DF,9,0.0,3,,0.0,,5,0.0,3.0,0.0,,,1980-08-05,2,2007-08-01,26.0,11.0,27.0
2007-08,England,Ashley Cole,3,DF,27,1.0,1,,0.0,,2,0.0,10.0,0.0,,,1980-12-20,0,2007-08-01,26.0,7.0,12.0
2007-08,Israel,Tal Ben Haim,22,DF,10,0.0,2,,0.0,,5,0.0,2.0,0.0,,,1982-03-31,3,2007-08-01,25.0,4.0,1.0
2007-08,England,John Terry,26,DF,23,1.0,2,,0.0,,2,0.0,10.0,0.0,,,1980-12-07,0,2007-08-01,26.0,7.0,25.0
2007-08,Brazil,Alex,33,DF,22,2.0,2,,0.0,,3,0.0,6.0,1.0,,,1982-06-17,6,2007-08-01,25.0,1.0,15.0
2007-08,Brazil,Juliano Belletti,35,DF,20,2.0,2,,0.0,,6,0.0,7.0,0.0,,,1976-06-20,3,2007-08-01,31.0,1.0,12.0
2007-08,France,Claude Makélélé,4,MF,15,0.0,1,,0.0,,2,0.0,13.0,0.0,,,1973-02-18,3,2007-08-01,34.0,5.0,14.0
2007-08,Portugal,Paulo Ferreira,20,DF,15,0.0,3,,0.0,,2,0.0,5.0,0.0,,,1979-01-18,3,2007-08-01,28.0,6.0,14.0
2008-09,England,Shaun Wright-Phillips,24,MF,0,0.0,0,,0.0,,0,0.0,0.0,0.0,,,1981-10-25,1,2008-08-01,26.0,9.0,7.0
2008-09,Portugal,Deco,20,MF,17,3.0,1,,0.0,,1,0.0,4.0,0.0,,,1977-08-27,7,2008-08-01,30.0,11.0,5.0
2008-09,IvoryCoast,Salomon Kalou,21,FW,17,6.0,6,,2.0,,2,1.0,8.0,1.0,,,1985-08-05,10,2008-08-01,22.0,11.0,27.0
2008-09,Slovakia,Miroslav Stoch,43,FW,0,0.0,1,,0.0,,0,0.0,0.0,0.0,,,1989-10-19,4,2008-08-01,18.0,9.0,13.0
2008-09,Italy,Carlo Cudicini,23,GK,2,0.0,1,,-1.0,,1,-1.0,0.0,0.0,,,1973-09-06,0,2008-08-01,34.0,10.0,26.0
2008-09,England,John Terry,26,DF,35,1.0,4,,0.0,,1,0.0,11.0,2.0,,,1980-12-07,0,2008-08-01,27.0,7.0,25.0
2008-09,England,Michael Mancienne,42,DF,2,0.0,1,,0.0,,0,0.0,1.0,0.0,,,1988-01-08,2,2008-08-01,20.0,6.0,24.0
2008-09,Brazil,Alex,33,DF,22,2.0,6,,1.0,,2,0.0,9.0,1.0,,,1982-06-17,1,2008-08-01,26.0,1.0,15.0
2008-09,Brazil,Juliano Belletti,35,DF,5,3.0,4,,0.0,,2,0.0,8.0,0.0,,,1976-06-20,14,2008-08-01,32.0,1.0,12.0
2008-09,France,Nicolas Anelka,39,FW,33,19.0,5,,4.0,,0,0.0,12.0,2.0,,,1979-03-14,4,2008-08-01,29.0,4.0,18.0
2008-09,Portugal,Hilário,40,GK,1,0.0,0,,0.0,,0,0.0,0.0,0.0,,,1975-10-21,0,2008-08-01,32.0,9.0,11.0
2008-09,Portugal,Paulo Ferreira,19,DF,1,0.0,1,,0.0,,2,0.0,2.0,0.0,,,1979-01-18,6,2008-08-01,29.0,6.0,14.0
2008-09,Brazil,Mineiro,27,MF,0,0.0,0,,0.0,,1,0.0,0.0,0.0,,,1975-08-02,1,2008-08-01,32.0,11.0,30.0
2008-09,Portugal,Ricardo Quaresma,18,MF,1,0.0,1,,0.0,,0,0.0,0.0,0.0,,,1983-09-26,3,2008-08-01,24.0,10.0,6.0
2008-09,Nigeria,John Obi Mikel,12,MF,34,0.0,5,,0.0,,1,0.0,9.0,0.0,,,1987-04-22,1,2008-08-01,21.0,3.0,10.0
2008-09,Portugal,José Bosingwa,17,DF,34,2.0,4,,0.0,,0,0.0,10.0,0.0,,,1982-08-24,0,2008-08-01,25.0,11.0,8.0
2008-09,CzechRepublic,Petr Čech,1,GK,36,-25.0,6,,-6.0,,1,0.0,12.0,-13.0,,,1982-05-20,0,2008-08-01,26.0,2.0,12.0
2008-09,Serbia,Branislav Ivanović,2,DF,12,0.0,4,,0.0,,2,0.0,4.0,2.0,,,1984-02-22,5,2008-08-01,24.0,5.0,10.0
2008-09,England,Ashley Cole,3,DF,33,1.0,7,,0.0,,0,0.0,9.0,0.0,,,1980-12-20,1,2008-08-01,27.0,7.0,12.0
2008-09,Portugal,Ricardo Carvalho,6,DF,11,1.0,2,,0.0,,0,0.0,4.0,0.0,,,1978-05-18,1,2008-08-01,30.0,2.0,14.0
2008-09,England,Frank Lampard,8,MF,37,12.0,7,,3.0,,2,2.0,11.0,3.0,,,1982-05-20,0,2008-08-01,26.0,2.0,12.0
2008-09,Ghana,Michael Essien,5,MF,11,1.0,3,,0.0,,0,0.0,5.0,2.0,,,1982-12-03,1,2008-08-01,25.0,7.0,29.0
2008-09,England,Joe Cole,10,MF,14,2.0,2,,0.0,,0,0.0,4.0,1.0,,,1981-11-08,0,2008-08-01,26.0,8.0,24.0
2008-09,IvoryCoast,Didier Drogba,11,FW,15,5.0,6,,3.0,,2,1.0,10.0,5.0,,,1978-03-11,9,2008-08-01,30.0,4.0,21.0
2008-09,Germany,Michael Ballack,13,MF,22,1.0,6,,3.0,,1,0.0,10.0,0.0,,,1976-09-26,7,2008-08-01,31.0,10.0,6.0
2008-09,France,Florent Malouda,15,MF,25,6.0,4,,1.0,,2,1.0,10.0,1.0,,,1980-06-13,7,2008-08-01,28.0,1.0,19.0
2008-09,England,Scott Sinclair,16,FW,0,0.0,1,,0.0,,1,0.0,0.0,0.0,,,1989-03-25,2,2008-08-01,19.0,4.0,7.0
2008-09,Argentina,Franco Di Santo,9,FW,0,0.0,3,,0.0,,2,0.0,3.0,0.0,,,1989-04-07,8,2008-08-01,19.0,3.0,25.0
2008-09,England,Wayne Bridge,18,DF,3,0.0,0,,0.0,,2,0.0,4.0,0.0,,,1980-08-05,3,2008-08-01,27.0,11.0,27.0
2009-10,Brazil,Alex,33,DF,13,1.0,6,,0.0,,1,0.0,2.0,0.0,,,1982-06-17,3,2009-08-01,27.0,1.0,15.0
2009-10,England,Ross Turnbull,22,GK,2,0.0,0,,0.0,,1,0.0,2.0,-2.0,,,1985-01-04,0,2009-08-01,24.0,6.0,28.0
2009-10,England,Daniel Sturridge,23,FW,2,1.0,4,,4.0,,1,0.0,2.0,0.0,,,1989-09-01,11,2009-08-01,19.0,11.0,0.0
2009-10,Serbia,Nemanja Matić,24,MF,0,0.0,1,,0.0,,0,0.0,0.0,0.0,,,1988-08-01,2,2009-08-01,21.0,0.0,0.0
2009-10,England,John Terry,26,DF,37,2.0,5,,1.0,,1,0.0,8.0,0.0,,,1980-12-07,0,2009-08-01,28.0,7.0,25.0
2009-10,Netherlands,Patrick van Aanholt,52,DF,0,0.0,0,,0.0,,0,0.0,0.0,0.0,,,1990-08-29,2,2009-08-01,18.0,11.0,3.0
2009-10,Portugal,Henrique Hilário,40,GK,2,0.0,4,,0.0,,3,-3.0,1.0,0.0,,,1975-10-21,1,2009-08-01,33.0,9.0,11.0
2009-10,England,Sam Hutchinson,41,DF,0,0.0,0,,0.0,,1,0.0,0.0,0.0,,,1989-08-03,2,2009-08-01,19.0,11.0,29.0
2009-10,Netherlands,Jeffrey Bruma,43,DF,0,0.0,0,,0.0,,1,0.0,0.0,0.0,,,1991-11-13,2,2009-08-01,17.0,8.0,19.0
2009-10,France,Gaël Kakuta,44,FW,0,0.0,1,,0.0,,1,0.0,1.0,0.0,,,1991-06-21,1,2009-08-01,18.0,1.0,11.0
2009-10,Italy,Fabio Borini,45,FW,0,0.0,2,,0.0,,1,0.0,1.0,0.0,,,1991-03-29,4,2009-08-01,18.0,4.0,3.0
2009-10,IvoryCoast,Salomon Kalou,21,FW,11,5.0,4,,1.0,,3,3.0,6.0,3.0,,,1985-08-05,12,2009-08-01,23.0,11.0,27.0
2009-10,France,Nicolas Anelka,39,FW,31,11.0,4,,1.0,,0,0.0,7.0,3.0,,,1979-03-14,2,2009-08-01,30.0,4.0,18.0
2009-10,Portugal,Deco,20,MF,14,2.0,3,,0.0,,2,1.0,4.0,0.0,,,1977-08-27,5,2009-08-01,31.0,11.0,5.0
2009-10,Brazil,Juliano Belletti,35,DF,4,0.0,3,,0.0,,3,0.0,5.0,0.0,,,1976-06-20,7,2009-08-01,33.0,1.0,12.0
2009-10,Russia,Yuri Zhirkov,18,MF,10,0.0,4,,0.0,,2,0.0,4.0,0.0,,,1983-08-20,7,2009-08-01,25.0,11.0,12.0
2009-10,Portugal,Paulo Ferreira,19,DF,11,0.0,4,,0.0,,3,1.0,0.0,0.0,,,1979-01-18,2,2009-08-01,30.0,6.0,14.0
2009-10,Serbia,Branislav Ivanović,2,DF,25,1.0,3,,0.0,,3,0.0,6.0,0.0,,,1984-02-22,3,2009-08-01,25.0,5.0,10.0
2009-10,England,Ashley Cole,3,DF,25,4.0,2,,0.0,,1,0.0,4.0,0.0,,,1980-12-20,2,2009-08-01,28.0,7.0,12.0
2009-10,Ghana,Michael Essien,5,MF,13,3.0,0,,0.0,,1,0.0,6.0,1.0,,,1982-12-03,1,2009-08-01,26.0,7.0,29.0
2009-10,Portugal,Ricardo Carvalho,6,DF,22,0.0,1,,0.0,,0,0.0,5.0,0.0,,,1978-05-18,0,2009-08-01,31.0,2.0,14.0
2009-10,Ukraine,Andriy Shevchenko*,7,FW,0,0.0,0,,0.0,,0,0.0,0.0,0.0,,,1976-09-29,1,2009-08-01,32.0,10.0,3.0
2009-10,CzechRepublic,Petr Čech,1,GK,34,0.0,2,,0.0,,0,0.0,6.0,0.0,,,1982-05-20,0,2009-08-01,27.0,2.0,12.0
2009-10,England,Joe Cole,10,MF,14,2.0,5,,0.0,,3,0.0,5.0,0.0,,,1981-11-08,12,2009-08-01,27.0,8.0,24.0
2009-10,IvoryCoast,Didier Drogba,11,FW,31,29.0,4,,3.0,,2,2.0,5.0,3.0,,,1978-03-11,1,2009-08-01,31.0,4.0,21.0
2009-10,Nigeria,John Obi Mikel,12,MF,21,0.0,3,,0.0,,2,0.0,4.0,0.0,,,1987-04-22,4,2009-08-01,22.0,3.0,10.0
2009-10,Germany,Michael Ballack,13,MF,26,4.0,4,,1.0,,2,0.0,6.0,0.0,,,1976-09-26,6,2009-08-01,32.0,10.0,6.0
2009-10,France,Florent Malouda,15,MF,26,12.0,6,,2.0,,3,1.0,8.0,0.0,,,1980-06-13,7,2009-08-01,29.0,1.0,19.0
2009-10,England,Frank Lampard,8,MF,36,22.0,6,,3.0,,1,0.0,7.0,1.0,,,1982-05-20,0,2009-08-01,27.0,2.0,12.0
2009-10,Portugal,José Bosingwa,17,DF,8,0.0,0,,0.0,,0,0.0,0.0,0.0,,,1982-08-24,0,2009-08-01,26.0,11.0,8.0
2010-11,England,Frank Lampard,8,MF,23,10.0,3,,3.0,,0,0.0,4.0,0.0,,,1982-05-20,1,2010-08-01,28.0,2.0,12.0
2010-11,Nigeria,John Obi Mikel,12,MF,28,,2,,,,0,,6.0,,,,1987-04-22,0,2010-08-01,23.0,3.0,10.0
2010-11,Brazil,Ramires,7,MF,22,1.0,3,,0.0,,1,0.0,8.0,0.0,,,1987-03-24,7,2010-08-01,23.0,4.0,8.0
2010-11,IvoryCoast,Salomon Kalou,21,FW,16,10.0,3,,2.0,,1,0.0,6.0,0.0,,,1985-08-05,15,2010-08-01,24.0,11.0,27.0
2010-11,Ghana,Michael Essien,5,MF,32,3.0,2,,0.0,,0,0.0,8.0,1.0,,,1982-12-03,1,2010-08-01,27.0,7.0,29.0
2010-11,IvoryCoast,Didier Drogba,11,FW,30,11.0,2,,0.0,,0,0.0,7.0,2.0,,,1978-03-11,6,2010-08-01,32.0,4.0,21.0
2010-11,England,John Terry,26,DF,33,3.0,3,,0.0,,1,0.0,8.0,1.0,,,1980-12-07,0,2010-08-01,29.0,7.0,25.0
